区,区分,人口,年少人口,0～ 4歳,5～ 9,10～14,生産年齢  人    口,15～19歳,20～24,25～29,30～34,35～39,40～44,45～49,50～54,55～59,60～64,老年人口,65～69歳,70～74,75～79,80～84,85～89,90～94,95～99,100歳  以上
北区,新川５条２丁目,473,57,14,17,26,250,21,12,16,18,37,32,35,33,28,18,166,41,48,31,21,17,6,2,-
北区,新川５条３丁目,828,61,15,17,29,513,31,47,34,25,33,32,66,78,87,80,254,80,72,42,34,18,6,2,-
北区,新川５条４丁目,174,19,7,8,4,99,6,10,10,5,9,12,11,14,11,11,56,8,12,12,14,6,4,-,-
北区,新川５条５丁目,322,42,14,15,13,157,14,5,5,14,19,23,29,22,9,17,123,24,28,31,23,15,1,1,-
北区,新川５条６丁目,388,49,21,16,12,194,17,18,3,16,30,20,26,26,20,18,145,31,38,24,25,17,8,2,-
北区,新川５条１６丁目,285,13,3,4,6,178,23,21,8,6,7,16,19,30,30,18,94,38,27,14,4,5,3,3,-
北区,新川６条１４丁目,240,19,3,2,14,197,29,27,13,1,4,7,22,43,36,15,24,9,5,4,2,1,3,-,-
北区,新川６条１５丁目,581,42,14,14,14,323,22,27,26,14,21,36,59,48,40,30,216,53,85,41,27,7,2,1,-
北区,新川６条１６丁目,285,50,8,18,24,222,39,17,11,14,13,40,51,21,12,4,13,6,4,1,-,2,-,-,-
北区,新川７条１６丁目,226,92,40,38,14,125,2,1,8,27,42,31,8,2,4,-,9,2,5,2,-,-,-,-,-
北区,新川８条１７丁目,222,36,12,12,12,145,14,18,6,6,18,11,27,19,19,7,41,9,16,5,4,3,3,1,-
北区,新川（番地）,206,1,-,1,-,50,-,-,1,-,2,6,10,8,12,11,155,18,36,28,29,30,12,2,-
北区,新琴似１条１丁目,87,10,3,3,4,48,3,4,2,1,2,8,6,11,6,5,29,3,8,7,6,1,4,-,-
北区,新琴似１条２丁目,608,84,27,27,30,340,22,18,31,31,39,49,42,42,39,27,184,47,55,37,23,18,4,-,-
北区,新琴似１条３丁目,91,16,4,6,6,30,3,1,3,3,3,1,8,5,1,2,45,3,-,8,8,15,10,1,-
北区,新琴似１条４丁目,235,33,9,13,11,139,10,9,6,15,12,14,20,22,23,8,63,12,16,15,15,3,2,-,-
北区,新琴似１条５丁目,236,33,7,15,11,119,13,6,4,7,8,20,17,8,14,22,84,27,18,6,8,15,8,2,-
北区,新琴似１条６丁目,217,40,7,20,13,129,12,9,7,8,12,22,28,18,5,8,48,12,12,11,8,4,1,-,-
北区,新琴似１条７丁目,348,31,15,13,3,182,14,13,9,17,21,26,31,17,14,20,135,30,45,25,15,10,7,3,-
北区,新琴似１条８丁目,719,80,22,33,25,335,25,16,12,29,32,52,60,40,34,35,304,69,72,70,44,26,19,4,-
北区,新琴似１条９丁目,373,48,15,22,11,184,10,18,8,13,19,25,20,20,22,29,141,21,36,32,28,17,7,-,-
北区,新琴似１条１０丁目,428,35,5,16,14,237,19,19,12,12,24,23,40,34,20,34,156,38,40,28,31,14,5,-,-
北区,新琴似１条１１丁目,623,116,40,49,27,352,28,20,13,33,51,66,57,32,32,20,155,21,49,35,30,16,2,2,-
北区,新琴似１条１２丁目,365,49,13,17,19,224,27,15,17,19,28,32,33,30,18,5,92,17,26,22,11,10,6,-,-
北区,新琴似１条１３丁目,559,50,17,15,18,309,40,25,7,18,20,25,53,48,45,28,200,49,52,40,25,21,12,1,-
北区,新琴似２条１丁目,209,31,4,13,14,129,8,4,9,14,12,25,19,13,14,11,49,7,17,12,6,5,1,1,-
北区,新琴似２条２丁目,517,42,5,17,20,323,23,26,16,18,19,33,45,44,51,48,152,32,33,36,20,20,8,2,1
北区,新琴似２条３丁目,243,40,12,12,16,132,10,5,10,15,18,19,16,11,18,10,71,25,17,10,8,6,5,-,-
北区,新琴似２条４丁目,243,24,5,8,11,116,12,7,9,12,8,16,18,12,14,8,103,22,22,25,13,13,5,3,-
北区,新琴似２条５丁目,148,26,7,13,6,89,2,-,9,13,18,12,12,4,9,10,33,10,4,6,7,5,-,1,-
北区,新琴似２条６丁目,251,37,26,7,4,148,7,5,20,22,12,15,16,16,21,14,66,8,15,13,17,9,3,1,-
北区,新琴似２条７丁目,57,8,1,3,4,40,7,2,1,1,2,4,11,7,1,4,9,4,1,3,-,1,-,-,-
北区,新琴似２条８丁目,251,27,2,9,16,202,31,16,9,3,8,16,41,35,30,13,22,8,4,5,1,4,-,-,-
